,Community,Art Score,Creative Score,Art Z Score,Creative Z Score,Total Score
0,Downtown/Seton Hill,38.3122066931,22.7582997208,6.13791567489,4.61607644565,10.7539921205
2,Inner Harbor/Federal Hill,13.3122173752,14.2045896538,2.13272152004,2.68480315885,4.8175246789
1,Midtown,8.78803366198,12.9960053262,1.4079118438,2.41192663995,3.81983848375
6,South Baltimore,1.5031469649,13.315641586,0.240815920404,2.48409473604,2.72491065644
3,Medfield/Hampden/Woodberry/Remington,4.03600750137,8.2298136646,0.646600022417,1.33580662141,1.98240664382
7,Washington Village/Pigtown,6.86964428867,6.12393240051,1.10057083629,0.860336655897,1.96090749219
5,Fells Point,3.71433514383,8.10930412656,0.59506559055,1.30859774365,1.9036633342
4,Harbor East/Little Italy,4.74529373601,6.34362862955,0.760233234215,0.909940097567,1.67017333178
8,Greater Charles Village/Barclay,3.66934240792,4.31334268806,0.587857401755,0.451538190946,1.0393955927
14,Oldtown/Middle East,2.85684371841,1.5766889532,0.457688746054,-0.166348809198,0.291339936856
9,Southeastern,-1.22067894922,4.44089456869,-0.195562331255,0.480337102507,0.284774771252
10,Orangeville/East Highlandtown,1.26379821552,2.45318146972,0.20247037554,0.0315473750297,0.23401775057
19,Westport/Mount Winans/Lakeland,1.31471356272,1.47492625369,0.210627413066,-0.189324989314,0.0213024237519
11,Greater Roland Park/Poplar Hill,0.624863667886,1.31489765487,0.100108055182,-0.22545655744,-0.125348502258
29,The Waverlies,2.0921967508,0.219269960015,0.335186311103,-0.472829508218,-0.137643197114
18,Morrell Park/Violetville,-2.05374777174,3.02320392682,-0.329026483424,0.160248153482,-0.168778329941
13,Highlandtown,-0.464819318357,1.76551724138,-0.0744676964965,-0.123714791222,-0.198182487718
15,Canton,-0.886098238634,2.0,-0.141959880097,-0.0707728181602,-0.212732698257
12,Mount Washington/Coldspring,-1.39797319264,1.72213622291,-0.223966258089,-0.133509441902,-0.35747569999
33,Southwest Baltimore,0.247169117508,0.335476656416,0.0395984291078,-0.446592134406,-0.406993705298
27,Penn North/Reservoir Hill,-0.209106315922,0.341332230037,-0.0335004700851,-0.44527005161,-0.478770521696
16,North Baltimore/Guilford/Homeland,-1.36919140266,1.11085661933,-0.219355189839,-0.271525339088,-0.490880528926
17,Glen-Fallstaff,-2.08090091924,1.47512404452,-0.333376630388,-0.189280331715,-0.522656962103
28,Upton/Druid Heights,-0.525745747759,0.241732740282,-0.0842285878239,-0.467757818023,-0.551986405846
20,Northwood,-2.21195386408,0.925313945803,-0.354372338905,-0.3134175246,-0.667789863506
34,Belair-Edison,-1.48082281794,0.333027101516,-0.237239417159,-0.447145199673,-0.684384616832
37,Poppleton/The Terraces/Hollins Market,-1.40071800535,0.117970900511,-0.22440599859,-0.495701006792,-0.720107005381
44,Greenmount East,-1.84348493077,0.244379276637,-0.295340728965,-0.4671602779,-0.762501006864
23,Pimlico/Arlington/Hilltop,-2.36063576161,0.583953960731,-0.37819234376,-0.390490445613,-0.768682789373
22,Lauraville,-2.08065214992,0.374806485782,-0.333336775594,-0.437712169077,-0.771048944671
36,Greater Govans,-2.07400693692,0.243422900477,-0.332272160409,-0.467376210368,-0.799648370777
46,Madison/East End,-1.95866182039,0.0771109111939,-0.313792969052,-0.504926454609,-0.818719423661
24,Greater Mondawmin,-2.42157536202,0.39691053422,-0.387955345186,-0.432721474051,-0.820676819237
47,Midway/Coldstream,-2.08492872811,0.11429758936,-0.334021916926,-0.496530374124,-0.83055229105
30,Chinquapin Park/Belvedere,-2.39404608119,0.219185146983,-0.383544938715,-0.472848657469,-0.856393596184
21,Harford/Echodale,-2.81822844518,0.451333214561,-0.451502276746,-0.420433815489,-0.871936092235
25,Cherry Hill,-2.67808274011,0.329188002926,-0.429049836801,-0.448011998815,-0.877061835616
53,Sandtown-Winchester/Harlem Park,-2.23288775092,0.0,-0.357726111587,-0.522336706037,-0.880062817624
51,Clifton-Berea,-2.45707200359,0.121531294308,-0.393642185269,-0.494897134159,-0.888539319428
38,Southern Park Heights,-2.86438598034,0.406504065041,-0.458897075506,-0.430555428013,-0.88945250352
50,Greater Rosemont,-2.54414145838,0.140194194922,-0.407591394085,-0.490683388179,-0.898274782264
49,Patterson Park North & East,-2.64270983655,0.158086466424,-0.423382820517,-0.486643636338,-0.910026456854
31,Claremont/Armistead,-3.17467832728,0.388774146519,-0.508608340517,-0.434558523483,-0.943166864
26,Cross-Country/Cheswolde,-2.95374041512,0.191806045727,-0.473212356019,-0.479030364174,-0.952242720192
41,Dickeyville/Franklintown,-2.98395288965,0.146305779078,-0.478052631142,-0.489303502827,-0.96735613397
43,Brooklyn/Curtis Bay/Hawkins Point,-3.23539758111,0.252755739662,-0.518336040695,-0.465269023795,-0.98360506449
32,Forest Park/Walbrook,-3.12513767907,0.172606355975,-0.500671540541,-0.483365307449,-0.984036847989
35,Hamilton,-3.13920180639,0.146131364405,-0.502924723925,-0.489342882511,-0.992267606436
48,Dorchester/Ashburton,-3.1906104091,0.178177498727,-0.511160784847,-0.482107444008,-0.993268228856
54,Allendale/Irvington/S. Hilton,-3.04437905259,0.00616636862552,-0.487733375863,-0.520944451342,-1.0086778272
39,Edmondson Village,-3.24833127375,0.113924050633,-0.520408119587,-0.496614712424,-1.01702283201
42,Howard Park/West Arlington,-3.64868373809,0.266715717833,-0.584547720995,-0.462117112786,-1.04666483378
40,Cedonia/Frankford,-3.501384068,0.106125567772,-0.560949159805,-0.498375469044,-1.05932462885
45,Loch Raven,-3.55659176705,0.0783750244922,-0.569793865726,-0.504641040651,-1.07443490638
52,Beechfield/Ten Hills/West Hills,-3.79046726907,0.0652315720809,-0.607262553482,-0.507608594887,-1.11487114837
