"Community","2014 Data"
"Allendale/Irvington/S. Hilton","55.1"
"Baltimore City","60.5"
"Beechfield/Ten Hills/West Hills","46.6"
"Belair-Edison","56.6"
"Brooklyn/Curtis Bay/Hawkins Point","54.9"
"Canton","46.5"
"Cedonia/Frankford","52.3"
"Cherry Hill","53.5"
"Chinquapin Park/Belvedere","47.7"
"Claremont/Armistead","46.3"
"Clifton-Berea","55.0"
"Cross-Country/Cheswolde","14.6"
"Dickeyville/Franklintown","29.3"
"Dorchester/Ashburton","56.4"
"Downtown/Seton Hill","243.3"
"Edmondson Village","38.9"
"Fells Point","71.0"
"Forest Park/Walbrook","50.0"
"Glen-Fallstaff","51.8"
"Greater Charles Village/Barclay","68.8"
"Greater Govans","39.9"
"Greater Mondawmin","102.9"
"Greater Roland Park/Poplar Hill","28.2"
"Greater Rosemont","63.0"
"Greenmount East","66.5"
"Hamilton","50.1"
"Harbor East/Little Italy","159.4"
"Harford/Echodale","44.2"
"Highlandtown","88.8"
"Howard Park/West Arlington","45.3"
"Inner Harbor/Federal Hill","79.3"
"Lauraville","38.9"
"Loch Raven","43.7"
"Madison/East End","71.8"
"Medfield/Hampden/Woodberry/Remington","51.5"
"Midtown","84.2"
"Midway/Coldstream","69.9"
"Morrell Park/Violetville","58.8"
"Mount Washington/Coldspring","30.0"
"North Baltimore/Guilford/Homeland","29.9"
"Northwood","41.8"
"Oldtown/Middle East","82.6"
"Orangeville/East Highlandtown","81.0"
"Patterson Park North & East","79.5"
"Penn North/Reservoir Hill","59.6"
"Pimlico/Arlington/Hilltop","55.7"
"Poppleton/The Terraces/Hollins Market","82.0"
"Sandtown-Winchester/Harlem Park","63.1"
"South Baltimore","49.8"
"Southeastern","83.7"
"Southern Park Heights","51.6"
"Southwest Baltimore","80.7"
"The Waverlies","75.2"
"Upton/Druid Heights","77.9"
"Washington Village/Pigtown","139.4"
"Westport/Mount Winans/Lakeland","71.2"
