"Community","2014 Data"
"Allendale/Irvington/S. Hilton","8,971"
"Baltimore City","328,712"
"Beechfield/Ten Hills/West Hills","6,698"
"Belair-Edison","9,525"
"Brooklyn/Curtis Bay/Hawkins Point","7,262"
"Canton","4,089"
"Cedonia/Frankford","12,769"
"Cherry Hill","4,859"
"Chinquapin Park/Belvedere","4,229"
"Claremont/Armistead","4,514"
"Clifton-Berea","5,401"
"Cross-Country/Cheswolde","7,078"
"Dickeyville/Franklintown","2,368"
"Dorchester/Ashburton","6,548"
"Downtown/Seton Hill","3,282"
"Edmondson Village","4,422"
"Fells Point","4,426"
"Forest Park/Walbrook","5,380"
"Glen-Fallstaff","8,131"
"Greater Charles Village/Barclay","7,863"
"Greater Govans","5,915"
"Greater Mondawmin","5,278"
"Greater Roland Park/Poplar Hill","3,845"
"Greater Rosemont","10,476"
"Greenmount East","4,447"
"Hamilton","6,990"
"Harbor East/Little Italy","2,779"
"Harford/Echodale","8,875"
"Highlandtown","3,516"
"Howard Park/West Arlington","5,924"
"Inner Harbor/Federal Hill","6,327"
"Lauraville","6,516"
"Loch Raven","8,680"
"Madison/East End","4,194"
"Medfield/Hampden/Woodberry/Remington","9,066"
"Midtown","7,715"
"Midway/Coldstream","5,176"
"Morrell Park/Violetville","4,726"
"Mount Washington/Coldspring","2,856"
"North Baltimore/Guilford/Homeland","9,511"
"Northwood","9,137"
"Oldtown/Middle East","5,478"
"Orangeville/East Highlandtown","4,387"
"Patterson Park North & East","7,260"
"Penn North/Reservoir Hill","5,167"
"Pimlico/Arlington/Hilltop","6,358"
"Poppleton/The Terraces/Hollins Market","2,683"
"Sandtown-Winchester/Harlem Park","8,086"
"South Baltimore","3,143"
"Southeastern","3,288"
"Southern Park Heights","7,247"
"Southwest Baltimore","9,200"
"The Waverlies","4,340"
"Upton/Druid Heights","5,721"
"Washington Village/Pigtown","2,760"
"Westport/Mount Winans/Lakeland","3,672"
