CSA2010,Total Population (2010),Total Male Population (2010),Total Female Population (2010),Percent of Residents - Black/African-American (2010),Percent of Residents - White/Caucasian (2010),Percent of Residents - Asian (2010),Percent of Residents - Two or More Races (2010),"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (2010)",Percent of Residents - Hispanic (2010),Racial Diversity Index (2010),Percent of Population 0-5 years old (2010),Percent of Population 6-18 years old (2010),Percent of Population 19-24 years old (2010),Percent of Population 25-64 years old (2010),Percent of Population 65 years and over (2010),Total Number of Households (2010),Percent of Female-Headed Households with Children under 18 (2010),Percent of Households with Children Under 18 (2010),Average Household Size (2010),Median Household Income (2010-2014),"Percent of Households Earning Less than $25,000 (2010-2014)","Percent of Households Earning $25,000 to $40,000 (2010-2014)","Percent of Households Earning $40,000 to $60,000 (2010-2014)","Percent of Households Earning $60,000 to $75,000 (2010-2014)","Percent of Households Earning More than $75,000 (2010-2014)",Percent of Family Households Living Below the Poverty Line (2010-2014),Percent of Children Living Below the Poverty Line (2010-2014)
Allendale/Irvington/S. Hilton,"16,217","7,246","8,971",88.2,8.3,0.5,1.3,0.5,1.3,22.9,6.6,18.4,10.3,51.9,12.8,"6,098",63.6,35.9,2.6,"35,958.25",35.6,19.4,16.6,12.5,15.9,23.1,41.5
Beechfield/Ten Hills/West Hills,"12,264","5,566","6,698",78.9,16.8,0.8,1.5,0.4,1.6,36.2,6.5,16.7,10.2,56.2,10.5,"5,076",51.4,33.6,2.4,"52,622.69",20.1,17.5,20.3,12.9,29.2,11.8,22.3
Belair-Edison,"17,416","7,891","9,525",86.9,9.9,0.5,1.1,0.3,1.2,24.6,6.9,20.2,10.9,54,8,"6,174",63.7,40.6,2.9,"38,905.92",32.7,18.5,17.5,9.4,21.8,18.1,36.9
Brooklyn/Curtis Bay/Hawkins Point,"14,243","6,981","7,262",35.9,47.8,1.7,4.1,0.7,9.8,66.7,10.2,18.2,11.1,53.5,7.1,"5,204",51,39.5,2.6,"35,861.90",33.6,19.8,19.7,9.9,17,28.4,46.9
Canton,"8,100","4,011","4,089",4,86,3.4,1.3,0.4,5,28.3,4.1,3,10.5,71.5,10.9,"4,310",19.8,8.8,1.9,"91,735.65",9.4,8.3,13.1,7.5,61.7,2.8,6.5
Cedonia/Frankford,"23,557","10,788","12,769",78.5,15.1,2.3,1.8,0.4,2,37.5,7.3,17.2,11.6,55.3,8.7,"9,348",55.3,34.5,2.5,"39,306.14",30.1,20.9,19.4,9,20.7,17.4,26
Cherry Hill,"8,202","3,343","4,859",95.1,1.6,0.2,1.1,0.3,1.6,11.2,11.4,24.3,12.1,43.8,8.4,"3,145",80.7,45.4,2.6,"22,658.56",53.2,21.4,13.3,4.4,7.7,41.8,53.7
Chinquapin Park/Belvedere,"7,756","3,527","4,229",69,23.2,1.7,1.8,0.6,3.7,49.5,7.2,14.2,11.1,56.2,11.5,"3,359",51.5,29.3,2.3,"44,252.62",29.5,16.9,16.1,10.1,27.5,12.5,24.3
Claremont/Armistead,"8,231","3,717","4,514",53.1,32.2,0.5,2,0.9,11.4,66.7,8.3,18.5,10.4,53.2,9.5,"3,419",57.1,35.3,2.4,"34,034.15",35.5,22.2,19.4,5.9,16.9,16.5,27.6
Clifton-Berea,"9,874","4,473","5,401",96.3,1.1,0.3,1.1,0.3,1,7.9,7.5,18,10.5,48.5,15.5,"3,529",70,34.7,2.8,"25,737.95",49,18.7,14.6,6.8,10.8,29.7,45.4
Cross-Country/Cheswolde,"13,034","5,956","7,078",20.4,72.1,3.7,1.2,0.4,2.2,44.3,9.1,18.4,9.8,43.5,19.2,"5,341",19.5,27.6,2.4,"54,867.93",19.3,16.1,18.6,12.3,33.7,9.1,12.2
Dickeyville/Franklintown,"4,101","1,733","2,368",87.8,8.2,0.5,1,0.6,1.9,23.4,8.3,18.2,11.7,53.1,8.7,"1,877",66.8,34.5,2.2,"32,768.00",41.2,13.5,22.2,8.5,14.6,21.8,31.3
Dorchester/Ashburton,"11,786","5,238","6,548",96.1,1.3,0.3,0.8,0.4,1,8.5,6,15.6,9.6,51.9,16.9,"4,565",58,31.2,2.6,"36,870.32",31.1,22.8,16.1,5.6,24.2,18.4,32.5
Downtown/Seton Hill,"6,446","3,164","3,282",37,39.2,15.9,2.8,0.6,4.5,68.8,3.4,4.6,20.6,67.6,3.8,"3,676",59,8.6,1.6,"44,819.40",31.9,13.4,22,7.6,25,15.8,39.8
Edmondson Village,"7,900","3,478","4,422",96.7,0.8,0.1,1.2,0.4,0.9,7.4,6.4,17.1,11.2,48.3,17,"2,875",67.7,35.2,2.7,"36,647.72",32.4,21.6,21.4,7.6,16.9,21.1,51.9
Fells Point,"9,039","4,613","4,426",7.8,69.8,4.6,2,0.7,15.1,55.6,4.7,5,11.3,71.2,7.7,"4,717",25.7,11.4,2,"77,433.38",14.9,8.9,12.1,12.6,51.5,3.5,12.7
Forest Park/Walbrook,"9,849","4,469","5,380",94.9,2.2,0.1,1.1,0.4,1.3,10.8,6.2,16,10.7,52.7,14.3,"3,943",62.5,31,2.5,"37,160.58",36.4,16.4,21.4,3.3,22.5,20.5,44
Glen-Fallstaff,"14,914","6,783","8,131",63,27.7,1.4,1.4,0.7,5.7,56.5,6.6,15.4,9.3,50.8,17.9,"6,414",44.8,27.1,2.3,"39,694.18",34,16.4,17.1,8.7,23.8,16.9,21
