CSA2010,teenbir10,teenbir11,teenbir12,teenbir13,teenbir14,termbir10,termbir11,termbir12,termbir13,termbir14,birthwt10,birthwt11,birthwt12,birthwt13,birthwt14,prenatal10,prenatal11,prenatal12,prenatal13,prenatal14,leadtest10,leadtest11,leadtest12,leadtest13,leadtest14,ebll10,ebll11,ebll12,ebll13,ebll14,LifeExp11,LifeExp12,LifeExp13,LifeExp14,mort1_11,mort1_12,mort1_13,mort1_14,mort14_11,mort14_12,mort14_13,mort14_14,mort24_11,mort24_12,mort24_13,mort24_14,mort44_11,mort44_12,mort44_13,mort44_14,mort64_11,mort64_12,mort64_13,mort64_14,mort84_11,mort84_12,mort84_13,mort84_14,mort85_11,mort85_12,mort85_13,mort85_14,liquor11,liquor12,liquor13,liquor14,fastfd11,fastfd13,tanf11,tanf12,tanf13,tanf14
CSA2010,"Teen Birth Rate per 1,000 Females (aged 15-19) (2010)","Teen Birth Rate per 1,000 Females (aged 15-19) (2011)","Teen Birth Rate per 1,000 Females (aged 15-19) (2012)","Teen Birth Rate per 1,000 Females (aged 15-19) (2013)","Teen Birth Rate per 1,000 Females (aged 15-19) (2014)",Percent of Births Delivered at Term (37-42 Weeks) (2010),Percent of Births Delivered at Term (37-42 Weeks) (2011),Percent of Births Delivered at Term (37-42 Weeks) (2012),Percent of Births Delivered at Term (37-42 Weeks) (2013),Percent of Births Delivered at Term (37-42 Weeks) (2014),Percent of Babies Born with a Satisfactory Birth Weight (2010),Percent of Babies Born with a Satisfactory Birth Weight (2011),Percent of Babies Born with a Satisfactory Birth Weight (2012),Percent of Babies Born with a Satisfactory Birth Weight (2013),Percent of Babies Born with a Satisfactory Birth Weight (2014),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2010),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2011),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2012),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2013),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2014),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2010),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2011),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2012),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2013),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2014),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2010),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2011),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2012),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2013),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2014),Life Expectancy (2011),Life Expectancy (2012),Life Expectancy (2013),Life Expectancy (2014),Mortality by Age (Less than 1 year old) (2007-2011),Mortality by Age (Less than 1 year old) (2008-2012),Mortality by Age (Less than 1 year old) (2009-2013),Mortality by Age (Less than 1 year old) (2010-2014),Mortality by Age (1-14 years old) (2007-2011),Mortality by Age (1-14 years old) (2008-2012),Mortality by Age (1-14 years old) (2009-2013),Mortality by Age (1-14 years old) (2010-2014),Mortality by Age (15-24 years old) (2007-2011),Mortality by Age (15-24 years old) (2008-2012),Mortality by Age (15-24 years old) (2009-2013),Mortality by Age (15-24 years old) (2010-2014),Mortality by Age (25-44 years old) (2007-2011),Mortality by Age (25-44 years old) (2008-2012),Mortality by Age (25-44 years old) (2009-2013),Mortality by Age (25-44 years old) (2010-2014),Mortality by Age (45-64 years old) (2007-2011),Mortality by Age (45-64 years old) (2008-2012),Mortality by Age (45-64 years old) (2009-2013),Mortality by Age (45-64 years old) (2010-2014),Mortality by Age (65-84 years old) (2007-2011),Mortality by Age (65-84 years old) (2008-2012),Mortality by Age (65-84 years old) (2009-2013),Mortality by Age (65-84 years old) (2010-2014),Mortality by Age (85 and over) (2007-2011),Mortality by Age (85 and over) (2008-2012),Mortality by Age (85 and over) (2009-2013),Mortality by Age (85 and over) (2010-2014),"Liquor Outlet density (per 1,000 Residents) (2011)","Liquor Outlet density (per 1,000 Residents) (2012)","Liquor Outlet density (per 1,000 Residents) (2013)","Liquor Outlet density (per 1,000 Residents) (2014)","Fast Food Outlet Density (per 1,000 Residents) (2011)","Fast Food Outlet Density (per 1,000 Residents) (2013)",Percent of Families Receiving TANF (2011),Percent of Families Receiving TANF (2012),Percent of Families Receiving TANF (2013),Percent of Families Receiving TANF (2014)
Allendale/Irvington/S. Hilton,55.0,58.1,45.9,38.2,30.6,85.3,86.0,84.3,84.4,89.4,87.4,83.8,83.8,85.3,88.5,51.9,55.3,57.0,47.3,42.3,386,166,187,336,69,0.0,0.0,0.0,0.0,0.0,70.0,70.4,71.3,71.3,14.8,16.9,14.1,11.4,3.2,1.9,1.9,2.6,18.2,19.0,14.9,14.9,41.9,39.8,29.6,35.2,134.3,129.4,102.3,126.7,453.8,430.3,336.1,440.3,1326.5,1381.4,1065.3,1292.1,0.7,0.9,0.6,0.7,0.6,0.8,10.2,12.5,11.1,10.9
Beechfield/Ten Hills/West Hills,42.8,21.4,42.8,29.4,18.7,87.5,90.6,89.5,83.7,85.9,91.7,90.6,90.1,85.6,85.9,64.3,67.1,63.0,49.0,58.8,0,199,0,301,205,0.0,0.0,0.0,0.0,0.0,74.1,74.7,75.4,75.4,12.8,11.8,14.7,9.3,1.8,1.8,0.9,0.9,18.7,15.2,12.9,11.7,24.0,19.8,13.8,15.0,89.2,96.1,71.5,94.3,339.4,329.0,268.4,353.2,1539.7,1349.2,904.8,1365.1,0.2,0.1,0.1,0.1,0.7,0.7,4.5,5.8,4.8,5.4
Belair-Edison,67.6,56.8,58.1,33.8,45.9,84.0,82.5,82.0,84.1,86.0,87.7,84.5,83.8,87.0,87.7,63.9,63.3,63.2,44.9,45.8,200,256,356,NA,82,7.5,2.0,1.4,NA,0.0,71.5,72.5,72.1,72.9,21.3,15.0,14.3,10.8,2.2,2.2,1.7,1.7,26.4,23.6,15.0,15.0,30.1,26.2,22.3,27.1,100.6,105.6,86.5,106.0,345.3,335.7,278.4,370.7,1984.3,1842.5,1574.8,1811.0,0.8,0.7,0.5,0.4,1.0,0.9,10.1,11.1,10.1,10.1
Brooklyn/Curtis Bay/Hawkins Point,111.1,94.6,63.8,52.0,49.6,83.1,82.3,85.0,87.1,81.2,89.9,86.7,91.4,86.3,85.0,50.9,47.2,49.6,43.9,39.7,0,360,374,115,194,0.0,0.0,0.0,0.0,0.0,69.7,69.5,69.5,69.3,7.7,7.9,10.2,9.9,3.1,4.4,3.1,3.1,17.2,13.4,11.5,14.4,36.5,34.7,27.2,34.7,145.8,155.4,114.8,147.6,466.6,468.9,378.3,532.3,1776.0,1568.0,1376.0,1568.0,1.5,1.4,1.3,1.3,0.8,0.9,13.8,14.8,14.8,12.9
Canton,46.5,23.3,0.0,46.5,0.0,94.6,93.7,90.6,92.7,90.0,94.6,97.6,92.9,95.5,92.0,73.9,79.4,79.5,66.4,68.7,96,124,130,129,125,0.0,0.0,0.0,0.0,0.0,77.0,77.4,77.3,78.4,5.7,1.8,1.8,0.0,0.0,0.0,0.0,0.0,6.6,8.8,8.8,6.6,2.8,3.3,2.8,5.1,78.8,74.8,57.4,73.5,373.3,384.2,310.6,384.2,1539.5,1407.9,1065.8,1276.3,4.6,4.9,4.3,4.1,1.1,1.2,1.4,0.9,0.6,0.8
Cedonia/Frankford,48.9,42.1,38.7,45.5,28.4,83.8,86.3,84.8,87.8,86.3,84.4,85.7,86.5,91.4,86.6,56.6,61.6,63.8,48.7,46.4,240,199,320,287,253,0.0,0.0,0.0,0.0,0.0,72.8,72.8,72.2,72.7,13.7,15.2,14.4,14.5,2.3,2.3,2.3,1.4,12.3,12.8,9.1,13.3,27.8,28.7,22.8,27.1,95.7,95.4,79.8,97.9,434.6,434.6,374.3,452.5,1560.0,1480.0,1184.0,1480.0,0.6,0.8,0.6,0.7,0.8,0.9,8.5,10.5,7.9,7.8
Cherry Hill,57.6,60.5,63.4,74.9,63.4,80.9,79.6,83.1,84.6,84.0,88.8,79.0,89.8,84.0,89.3,57.2,52.5,57.2,47.4,46.7,198,322,382,149,207,0.0,0.0,0.0,0.0,0.0,68.7,68.8,69.3,69.8,15.2,14.8,17.4,19.9,3.4,3.4,2.5,1.7,21.9,21.9,16.1,16.1,47.2,47.2,33.8,35.9,140.2,142.7,113.4,135.4,473.4,442.5,363.6,459.7,1423.1,1461.5,1269.2,1634.6,0.1,0.1,0.1,0.1,0.7,1.0,21.9,23.5,21.3,19.9
Chinquapin Park/Belvedere,50.6,84.4,63.3,16.9,46.4,87.0,89.3,89.4,89.3,84.6,92.6,87.7,90.2,91.3,89.4,63.9,58.2,49.2,54.4,54.8,146,233,138,105,180,0.0,0.0,0.0,0.0,0.0,75.4,74.9,75.0,75.2,11.1,11.3,11.8,10.6,1.6,1.6,0.0,0.0,9.0,12.5,12.5,10.8,18.3,18.3,13.7,18.3,97.9,107.1,85.9,101.6,316.3,311.3,256.5,321.3,1576.5,1694.1,1458.8,1717.6,1.3,0.8,1.3,0.6,0.4,0.8,5.6,7.3,5.6,5.5
Claremont/Armistead,48.9,48.9,45.1,48.9,45.1,83.0,89.2,89.5,83.3,91.7,83.0,90.0,91.1,84.2,92.4,47.2,50.8,63.7,47.4,50.3,240,222,244,155,162,0.0,0.0,0.0,0.0,0.0,73.1,72.7,72.5,72.2,0.0,3.1,4.9,6.3,1.1,0.0,0.0,0.0,11.7,10.1,6.7,8.4,19.4,19.4,16.9,17.7,127.1,132.1,110.2,133.1,500.0,522.9,380.0,528.6,1195.1,1268.3,1170.7,1756.1,1.1,0.9,1.1,0.9,0.9,1.1,7.9,7.7,7.0,8.1
