CSA2010,shomes10,shomes11,shomes12,shomes13,shomes14,salepr10,salepr11,salepr12,salepr13,salepr14,dom10,dom11,dom12,dom13,dom14,reosa11,reosa12,reosa13,reosa14,cashsa11,cashsa12,cashsa13,cashsa14,fore10,fore11,fore12,fore13,fore14,ownroc10,ownroc11,ownroc12,ownroc13,ownroc14,nomail10,nomail11,nomail12,nomail13,nomail14,totalres10,totalres11,totalres12,totalres13,totalres14,affordm14,affordr14,homtax11,homtax12,homtax13,homtax14,owntax11,owntax12,owntax13,owntax14,resrehab10,resrehab11,resrehab12,resrehab13,resrehab14,constper11,constper12,constper13,constper14,vacant10,vacant11,vacant12,vacant13,vacant14,baltvac11,baltvac12,baltvac13,vio10,vio11,vio12,vio13,demper11,demper12,demper13,demper14,hcvhouse14
CSA2010,Number of Homes Sold (2010),Number of Homes Sold (2011),Number of Homes Sold (2012),Number of Homes Sold (2013),Number of Homes Sold (2014),Median Price of Homes Sold (2010),Median Price of Homes Sold (2011),Median Price of Homes Sold (2012),Median Price of Homes Sold (2013),Median Price of Homes Sold (2014),Median Number of Days on the Market (2010),Median Number of Days on the Market (2011),Median Number of Days on the Market (2012),Median Number of Days on the Market (2013),Median Number of Days on the Market (2014),Percentage of Residential Sales in Foreclosure (REO) (2011),Percentage of Residential Sales in Foreclosure (REO) (2012),Percentage of Residential Sales in Foreclosure (REO) (2013),Percentage of Residential Sales in Foreclosure (REO) (2014),Percentage of Residential Sales for Cash (2011),Percentage of Residential Sales for Cash (2012),Percentage of Residential Sales for Cash (2013),Percentage of Residential Sales for Cash (2014),Percentage of Properties Under Mortgage Foreclosure (2010) ,Percentage of Properties Under Mortgage Foreclosure (2011),Percentage of Properties Under Mortgage Foreclosure (2012),Percentage of Properties Under Mortgage Foreclosure (2013),Percentage of Properties Under Mortgage Foreclosure (2014),Percentage of Housing Units that are Owner-Occupied (2010),Percentage of Housing Units that are Owner-Occupied (2011),Percentage of Housing Units that are Owner-Occupied (2012),Percentage of Housing Units that are Owner-Occupied (2013),Percentage of Housing Units that are Owner-Occupied (2014),Percent Residential Properties that do Not Receive Mail (2010),Percent Residential Properties that do Not Receive Mail (2011),Percent Residential Properties that do Not Receive Mail (2012),Percent Residential Properties that do Not Receive Mail (2013),Percent Residential Properties that do Not Receive Mail (2014),Total Number of Residential Properties (2010),Total Number of Residential Properties (2011),Total Number of Residential Properties (2012),Total Number of Residential Properties (2013),Total Number of Residential Properties (2014),Affordability Index - Mortgage (2010-2014),Affordability Index - Rent (2010-2014),"Number of Homestead Tax Credits per 1,000 Residential Units (2011)","Number of Homestead Tax Credits per 1,000 Residential Units (2012)","Number of Homestead Tax Credits per 1,000 Residential Units (2013)","Number of Homestead Tax Credits per 1,000 Residential Units (2014)","Number of Homeowner's Tax Credits per 1,000 Residential Units (2011)","Number of Homeowner's Tax Credits per 1,000 Residential Units (2012)","Number of Homeowner's Tax Credits per 1,000 Residential Units (2013)","Number of Homeowner's Tax Credits per 1,000 Residential Units (2014)","Percentage of Properties with Rehabilitation Permits Exceeding $5,000 (2010)","Percentage of Properties with Rehabilitation Permits Exceeding $5,000 (2011)","Percentage of Properties with Rehabilitation Permits Exceeding $5,000 (2012)","Percentage of Properties with Rehabilitation Permits Exceeding $5,000 (2013)","Percentage of Properties with Rehabilitation Permits Exceeding $5,000 (2014)","Number of New Construction Permits per 1,000 Residential Properties (2011)","Number of New Construction Permits per 1,000 Residential Properties (2012)","Number of New Construction Permits per 1,000 Residential Properties (2013)","Number of New Construction Permits per 1,000 Residential Properties (2014)",Percentage of Residential Properties that are Vacant and Abandoned (2010),Percentage of Residential Properties that are Vacant and Abandoned (2011),Percentage of Residential Properties that are Vacant and Abandoned (2012),Percentage of Residential Properties that are Vacant and Abandoned (2013),Percentage of Residential Properties that are Vacant and Abandoned (2014),Percentage of Vacant Properties Owned by Baltimore City (2011),Percentage of Vacant Properties Owned by Baltimore City (2012),Percentage of Vacant Properties Owned by Baltimore City (2013),Percentage of Residential Properties with Housing Violations (Excluding Vacants) (2010),Percentage of Residential Properties with Housing Violations (Excluding Vacants) (2012),Percentage of Residential Properties with Housing Violations (Excluding Vacants) (2012),Percentage of Residential Properties with Housing Violations (Excluding Vacants) (2013),"Number of Demolition Permits per 1,000 Residential Properties (2011)","Number of Demolition Permits per 1,000 Residential Properties (2012)","Number of Demolition Permits per 1,000 Residential Properties (2013)","Number of Demolition Permits per 1,000 Residential Properties (2014)","Rate of Housing Vouchers per 1,000 Rental Units (2014)"
Allendale/Irvington/S. Hilton,118,80,76,74,184,42500," $ 30,000 "," $ 47,500 "," $ 31,806 "," $ 33,250 ",85,55,58,57,43,53.5,29.3,8.3,4.4,78.2,76.1,78.8,76.6,2.6,1.3,2.0,3.3,2.8,66.0,61.6,61.8,60.3,58.1,9.0,8.7,8.4,9.0,10.2,"5,568","5,551","5,554","5,568","5,589",50.8,51.0,599.9,550.8,501.4,499.7,69.0,62.3,71.3,72.5,1.3,1.6,1.4,1.6,1.4,0.0,0.9,0.0,3.6,4.3,4.7,5.1,5.2,5.7,3.0,2.8,1.7,5.0,5.3,3.3,3.5,0.4,0.2,2.0,0.2,211.4
Beechfield/Ten Hills/West Hills,72,84,64,62,117,142250," $ 120,000 "," $ 144,501 "," $ 139,500 "," $ 130,000 ",102,74,69,53,49,38.5,9.0,3.2,1.7,32.1,25.4,29.0,34.7,2.1,1.0,1.4,3.0,2.4,82.7,79.5,81.0,80.8,78.7,2.3,2.6,2.8,2.4,2.9,"3,557","3,575","3,599","3,599","3,612",37.5,48.4,740.4,641.6,585.2,577.8,56.5,52.5,60.0,60.4,1.9,3.1,1.8,2.4,2.6,4.8,0.8,6.1,0.6,0.3,0.4,0.8,0.4,0.6,6.7,3.7,6.7,2.0,3.1,1.3,1.4,0.0,0.0,0.6,0.0,166.7
Belair-Edison,153,127,132,117,184,56000," $ 44,000 "," $ 60,000 "," $ 45,100 "," $ 41,975 ",94,66,46,39,39,41.1,23.2,6.5,3.5,66.7,67.4,67.7,69.2,3.2,1.7,2.3,4.7,3.1,67.2,64.8,64.5,63.5,61.6,6.2,6.7,8.7,9.8,11.3,"6,295","6,296","6,292","6,295","6,296",42.7,71.5,613.7,582.8,443.4,444.4,57.5,52.6,57.7,58.3,1.4,1.9,1.8,1.5,1.9,0.0,0.3,0.0,0.3,1.5,1.7,2.0,2.5,2.7,0.9,0.0,0.0,2.2,3.2,2.6,2.5,0.0,0.3,0.0,0.0,420.3
Brooklyn/Curtis Bay/Hawkins Point,104,86,84,77,113,58005," $ 42,950 "," $ 47,050 "," $ 45,000 "," $ 40,000 ",108,68,59,51,36,42.6,23.7,0.8,5.1,73.4,72.0,76.9,75.4,2.8,1.3,1.8,3.6,2.5,50.4,46.2,46.9,45.6,43.5,8.9,8.8,9.9,9.9,11.3,"4,283","4,259","4,256","4,256","4,249",33.1,53.0,382.0,364.4,305.7,307.4,51.0,47.2,52.9,53.2,1.3,1.0,1.2,1.0,1.0,0.5,0.5,0.5,0.2,3.7,4.2,5.0,5.5,5.9,2.7,3.8,3.9,3.7,4.3,3.1,4.1,0.9,3.8,0.5,1.2,54.5
Canton,230,199,288,244,315,251000," $ 231,000 "," $ 261,200 "," $ 285,500 "," $ 275,000 ",82,58,27,17,30,14.0,3.9,0.7,0.4,26.6,20.1,15.5,18.3,1.8,0.5,0.6,1.4,0.7,69.9,67.9,68.7,68.4,66.6,7.7,7.4,6.4,5.6,4.9,"4,013","4,017","4,025","4,024","4,033",29.8,33.4,448.3,355.8,321.1,320.6,46.6,43.0,44.0,44.4,4.0,5.3,6.6,6.5,5.3,0.3,1.0,0.7,1.5,0.9,0.7,0.8,0.6,0.5,0.0,0.0,0.0,0.6,0.4,0.5,0.8,0.0,0.5,0.0,0.5,16.3
Cedonia/Frankford,195,171,141,132,262,103225," $ 88,000 "," $ 94,500 "," $ 97,250 "," $ 78,575 ",98.5,71,48,39,45,42.6,16.9,6.7,1.8,45.4,42.2,40.2,43.7,2.9,1.3,2.4,4.1,3.2,79.2,76.5,76.1,75.2,73.1,4.8,5.2,6.2,6.1,6.0,"6,294","6,290","6,286","6,290","6,285",43.6,58.8,720.5,683.4,528.1,528.2,69.3,68.7,72.0,72.6,1.9,1.6,2.1,2.7,2.4,0.5,1.1,0.2,0.2,0.7,0.6,1.1,1.3,1.7,2.6,1.4,1.2,1.6,2.6,1.0,1.8,0.2,0.0,0.6,0.5,132.0
Cherry Hill,9,8,6,2,18,69000," $ 61,050 "," $ 16,000 "," $ 34,850 "," $ 23,500 ",141,92,28,36,38,15.4,6.7,0.0,4.3,61.5,86.7,76.5,95.7,2.0,1.0,0.6,1.9,1.4,54.7,53.0,53.0,52.2,49.5,3.1,3.3,4.4,4.3,3.7,988,985,985,984,984,41.6,43.5,510.7,500.5,470.5,470.5,67.0,66.0,74.2,74.2,0.4,0.5,0.2,0.4,1.1,0.0,0.0,0.0,1.0,3.4,3.7,4.0,4.1,4.9,5.4,5.1,5.0,2.9,5.2,2.4,3.4,0.0,0.0,0.0,3.0,99.6
Chinquapin Park/Belvedere,74,59,63,55,89,117450," $ 130,000 "," $ 124,000 "," $ 125,000 "," $ 120,000 ",103,78,54,45,36,24.2,11.5,5.5,2.2,40.3,31.1,43.8,40.0,2.0,0.9,1.6,2.6,2.3,74.0,70.3,71.6,70.5,68.9,6.0,5.3,4.3,4.8,5.2,"2,694","2,688","2,689","2,689","2,689",31.8,61.5,674.9,636.7,482.0,483.1,61.0,58.0,62.5,62.8,2.3,1.8,1.3,2.2,2.8,0.0,0.0,0.4,0.4,0.3,0.6,0.7,1.0,1.6,0.0,5.6,3.7,2.3,3.8,2.9,2.9,0.4,0.0,0.0,0.0,116.9
Claremont/Armistead,16,18,6,7,17,139000," $ 135,000 "," $ 79,200 "," $ 97,000 "," $ 90,000 ",135,43,49,108,57,31.6,20.0,0.0,0.0,52.6,40.0,56.3,57.1,4.7,0.8,2.0,2.9,1.3,76.6,70.9,75.2,74.5,85.1,3.6,3.9,4.6,4.2,3.7,725,755,745,752,"2,267",33.8,47.5,543.1,567.8,432.2,142.9,46.4,44.3,57.2,19.4,1.5,2.7,4.6,7.6,1.4,6.6,49.7,6.6,26.0,0.0,0.3,0.3,0.5,0.2,0.0,0.0,0.0,3.3,2.8,3.6,3.1,0.0,0.0,0.0,0.4,270.3
