"Community","2014 Data"
"Cross-Country/Cheswolde","89.6"
"North Baltimore/Guilford/Homeland","83.9"
"Greater Roland Park/Poplar Hill","83.8"
"Glen-Fallstaff","82.5"
"Mount Washington/Coldspring","81.3"
"Inner Harbor/Federal Hill","78.9"
"Canton","78.4"
"Fells Point","78.2"
"South Baltimore","77.1"
"Loch Raven","76.6"
"Medfield/Hampden/Woodberry/Remington","76.2"
"Northwood","76.2"
"Lauraville","76.1"
"Howard Park/West Arlington","76.0"
"Harford/Echodale","75.8"
"Midtown","75.7"
"Beechfield/Ten Hills/West Hills","75.4"
"Chinquapin Park/Belvedere","75.2"
"Hamilton","74.9"
"Forest Park/Walbrook","74.7"
"Greater Charles Village/Barclay","74.7"
"Highlandtown","74.0"
"Dorchester/Ashburton","73.9"
"Baltimore City","73.8"
"Southeastern","73.8"
"Westport/Mount Winans/Lakeland","73.8"
"Dickeyville/Franklintown","73.3"
"Greater Govans","73.3"
"Morrell Park/Violetville","73.0"
"The Waverlies","73.0"
"Belair-Edison","72.9"
"Cedonia/Frankford","72.7"
"Patterson Park North & East","72.6"
"Edmondson Village","72.4"
"Harbor East/Little Italy","72.3"
"Orangeville/East Highlandtown","72.3"
"Claremont/Armistead","72.2"
"Oldtown/Middle East","72.0"
"Greater Mondawmin","71.7"
"Allendale/Irvington/S. Hilton","71.3"
"Penn North/Reservoir Hill","71.3"
"Greater Rosemont","70.2"
"Washington Village/Pigtown","70.2"
"Sandtown-Winchester/Harlem Park","70.0"
"Cherry Hill","69.8"
"Southern Park Heights","69.6"
"Midway/Coldstream","69.4"
"Brooklyn/Curtis Bay/Hawkins Point","69.3"
"Poppleton/The Terraces/Hollins Market","68.8"
"Upton/Druid Heights","68.8"
"Madison/East End","68.7"
"Southwest Baltimore","68.3"
"Pimlico/Arlington/Hilltop","68.2"
"Greenmount East","67.8"
"Downtown/Seton Hill","67.5"
"Clifton-Berea","67.2"
