CSA2010,"Rate of Businesses in the Creative Economy per 1,000 residents_zscore",Number of Public Murals_zscore,"Number of Event Permits Requested per 1,000 Residents_zscore",employment_in_creative_ratio_zscore,art_score
Downtown/Seton Hill,5.942169070012361,5.751867788280994,5.319260932411847,4.658621828403364,21.671919619108564
Inner Harbor/Federal Hill,1.210195829972708,-0.3192167289139348,3.8148299224675735,2.7095484115274466,7.415357435053793
Washington Village/Pigtown,0.3751417287892397,1.4857002897115845,2.0654915388114405,0.8682661936235426,4.794599750935808
Midtown,1.871280326742954,0.00895000174525053,0.2811663874821856,2.434156848504358,4.5955535644747485
Medfield/Hampden/Woodberry/Remington,1.8364864058603094,0.00895000174525053,-0.2786218952877769,1.348118463435752,2.914932975753535
Harbor East/Little Italy,1.4189593552685753,0.00895000174525053,0.5610605288671667,0.9183268195355802,2.907296705416573
Fells Point,0.8970505420289077,0.00895000174525053,0.38612669050155346,1.32065880730718,2.6127860415828916
South Baltimore,0.027202519962794554,-0.4833000942435275,-0.10368805692216367,2.506990102394797,1.9472044711919005
Greater Charles Village/Barclay,0.5491113332024623,0.33711673240443585,0.141219316789695,0.4556999212352313,1.4831473036318243
Southwest Baltimore,-0.3903245306289396,2.142033751029955,-0.24363512761465425,-0.45070827795668594,1.0573658148296754
Orangeville/East Highlandtown,0.1315842826107282,0.9934501937228065,-0.24363512761465425,0.03183814039316929,0.9132374891120498
Westport/Mount Winans/Lakeland,-0.14676708445042802,1.4857002897115845,-0.4535557336533902,-0.19106995697842172,0.6943075146293445
Oldtown/Middle East,-0.3207366888636506,0.6652834630636212,0.42111345817467616,-0.16788201035707426,0.5977782220175725
The Waverlies,-0.28594276798100604,1.321616924381992,-0.17366159226840897,-0.47718747599415356,0.3848250881384234
Canton,0.2707599661413062,-0.6473834595731202,0.6310340642134121,-0.07142511598776766,0.18298545479383052
Upton/Druid Heights,-0.4599123723942286,0.5012000977340285,0.2811663874821856,-0.4720690411226513,-0.1496149283006658
Highlandtown,0.2707599661413062,-0.4833000942435275,0.141219316789695,-0.1248550438164495,-0.19617585512897578
Southeastern,0.1315842826107282,-0.6473834595731202,-0.38358219830714485,0.48476426616421275,-0.414617109105324
Greater Roland Park/Poplar Hill,0.7926687793809739,-0.6473834595731202,-0.41856896598026755,-0.22753454198866443,-0.5008181881610783
Poppleton/The Terraces/Hollins Market,-0.4947062932768731,0.1730333670748432,0.17620608446281766,-0.5002697762462668,-0.6457366179854791
Penn North/Reservoir Hill,-0.3555306097462951,0.00895000174525053,0.10623254911657229,-0.4493740098091299,-0.6897220686936022
Morrell Park/Violetville,-0.21635492621571703,-0.15513336358434213,-0.5235292689996355,0.16172512621134624,-0.7332924325883484
Madison/East End,-0.5295002141595176,0.00895000174525053,0.2461796198090629,-0.5095802530299103,-0.7839508456351145
Greenmount East,-0.5990880559248066,0.1730333670748432,0.10623254911657229,-0.47146599360105407,-0.7912881333344453
Belair-Edison,-0.42511845151158417,0.5012000977340285,-0.41856896598026755,-0.4512664407073161,-0.7937537604651392
Midway/Coldstream,-0.4947062932768731,0.00895000174525053,0.141219316789695,-0.5011067876788315,-0.8456437624207591
Sandtown-Winchester/Harlem Park,-0.6338819768074512,0.33711673240443585,-0.033714521575918296,-0.5271509709971128,-0.8576307369760465
Mount Washington/Coldspring,0.09679036172808364,-0.6473834595731202,-0.38358219830714485,-0.13473996968295143,-1.0689152658351329
Greater Govans,-0.3903245306289396,0.1730333670748432,-0.4535557336533902,-0.47168391627263495,-1.1425308134801215
Patterson Park North & East,-0.4599123723942286,-0.3192167289139348,0.0712457814434496,-0.49112892595891455,-1.1990122458236283
North Baltimore/Guilford/Homeland,0.1663782034933726,-0.6473834595731202,-0.4535557336533902,-0.274027929678363,-1.2085889194115007
Greater Rosemont,-0.5642941350421622,0.00895000174525053,-0.17366159226840897,-0.49520591132305836,-1.2242116368883789
Lauraville,-0.11197316356778347,-0.3192167289139348,-0.38358219830714485,-0.4417464678991341,-1.2565185586879972
Northwood,-0.3555306097462951,-0.3192167289139348,-0.31360866296089956,-0.31630622644553213,-1.3046622280666615
Chinquapin Park/Belvedere,-0.28594276798100604,-0.15513336358434213,-0.41856896598026755,-0.4772068017400289,-1.3368518992856446
Glen-Fallstaff,-0.11197316356778347,-0.4833000942435275,-0.5585160366727581,-0.19102488777981386,-1.3448141822638826
Clifton-Berea,-0.5295002141595176,-0.15513336358434213,-0.20864835994153158,-0.4994584944925952,-1.3927404321779866
Pimlico/Arlington/Hilltop,-0.3555306097462951,-0.3192167289139348,-0.3485954306340222,-0.3940895119769503,-1.4174322812712024
Southern Park Heights,-0.4599123723942286,-0.3192167289139348,-0.31360866296089956,-0.4345237646944004,-1.5272615289634635
Greater Mondawmin,-0.28594276798100604,-0.6473834595731202,-0.2786218952877769,-0.4367097747122718,-1.648657897554175
Cherry Hill,-0.42511845151158417,-0.3192167289139348,-0.5585160366727581,-0.45214122895095143,-1.7549924460492285
Brooklyn/Curtis Bay/Hawkins Point,-0.3903245306289396,-0.4833000942435275,-0.4535557336533902,-0.4695573082142145,-1.7967376667400718
Allendale/Irvington/S. Hilton,-0.5990880559248066,-0.15513336358434213,-0.5235292689996355,-0.5257458841900298,-1.8034965726988141
Harford/Echodale,-0.2511488470983615,-0.6473834595731202,-0.5235292689996355,-0.4243088634470498,-1.846370439118167
Hamilton,-0.3555306097462951,-0.4833000942435275,-0.5235292689996355,-0.49385305050342904,-1.856213023492887
Cross-Country/Cheswolde,-0.2511488470983615,-0.6473834595731202,-0.5235292689996355,-0.4834454839047635,-1.9055070595758807
Claremont/Armistead,-0.4599123723942286,-0.4833000942435275,-0.5585160366727581,-0.4385637558331046,-1.9402922591436187
Forest Park/Walbrook,-0.4599123723942286,-0.6473834595731202,-0.3485954306340222,-0.4878203814186843,-1.9437116440200553
Dickeyville/Franklintown,-0.3903245306289396,-0.6473834595731202,-0.41856896598026755,-0.4938133078654856,-1.950090264047813
Edmondson Village,-0.5295002141595176,-0.6473834595731202,-0.41856896598026755,-0.5011919033067072,-2.096644543019613
Howard Park/West Arlington,-0.5295002141595176,-0.6473834595731202,-0.4535557336533902,-0.4663763467201377,-2.096815754106166
Cedonia/Frankford,-0.4599123723942286,-0.6473834595731202,-0.5235292689996355,-0.5029688884415379,-2.133793989408522
Dorchester/Ashburton,-0.5642941350421622,-0.6473834595731202,-0.4535557336533902,-0.48655092452164944,-2.1517842527903217
Loch Raven,-0.4947062932768731,-0.6473834595731202,-0.5235292689996355,-0.5092922084730709,-2.1749112303226994
Beechfield/Ten Hills/West Hills,-0.5642941350421622,-0.6473834595731202,-0.5235292689996355,-0.5122871140170299,-2.2474939776319474
