Neighborhood,Count
Allendale/Irvington/S. Hilton,9
Beechfield/Ten Hills/West Hills,1
Belair-Edison,10
Brooklyn/Curtis Bay/Hawkins Point,37
Canton,90
Cedonia/Frankford,16
Cherry Hill,4
Chinquapin Park/Belvedere,12
Claremont/Armistead,2
Clifton-Berea,17
Dickeyville/Franklintown,1
Downtown/Seton Hill,135
Edmondson Village,1
Fells Point,105
Forest Park/Walbrook,1
Glen-Fallstaff,26
Greater Charles Village/Barclay,35
Greater Govans,2
Greater Mondawmin,8
Greater Roland Park/Poplar Hill,19
Greater Rosemont,23
Greenmount East,9
Hamilton,7
Harbor East/Little Italy,33
Harford/Echodale,9
Highlandtown,32
Howard Park/West Arlington,7
Inner Harbor/Federal Hill,179
Lauraville,9
Loch Raven,3
Madison/East End,8
Medfield/Hampden/Woodberry/Remington,43
Midtown,87
Midway/Coldstream,9
Morrell Park/Violetville,17
Mount Washington/Coldspring,1
North Baltimore/Guilford/Homeland,23
Northwood,4
Oldtown/Middle East,27
Orangeville/East Highlandtown,63
Patterson Park North & East,7
Penn North/Reservoir Hill,8
Pimlico/Arlington/Hilltop,18
Poppleton/The Terraces/Hollins Market,9
Sandtown-Winchester/Harlem Park,6
South Baltimore,15
Southeastern,11
Southern Park Heights,3
Southwest Baltimore,36
The Waverlies,8
Upton/Druid Heights,7
Washington Village/Pigtown,3
Westport/Mount Winans/Lakeland,6
