,index,address,name,rating
0,0,"1400 West Cold Spring Ln, Baltimore, MD 21209",Baltimore Polytechnic Institute,4
1,1,"5207 Roland Ave, Baltimore, MD 21210",Roland Park Elementary/Middle School,4
2,2,"3220 the Alameda, Baltimore, MD 21218",Baltimore City College,4
3,3,"712 Cathedral St, Baltimore, MD 21201",Baltimore School For The Arts,5
4,4,"1801 Sulgrave Ave, Baltimore, MD 21209",The Mount Washington School,5
5,5,"100 East Heath St, Baltimore, MD 21230",Thomas Johnson Elementary School,5
6,6,"2851 Kentucky Ave, Baltimore, MD 21213",The Green School,5
7,7,"1600 Guilford Ave, Baltimore, MD 21202",Baltimore Montessori Public Charter School,4
8,8,"500 South Linwood Ave, Baltimore, MD 21224",Hampstead Hill Academy,4
9,9,"4300 Buchanan Ave, Baltimore, MD 21211",Medfield Heights Elementary School,5
10,10,"4600 Falls Rd, Baltimore, MD 21209",Western High School,4
11,11,"1398 Mt Royal Ave, Baltimore, MD 21217",Midtown Academy,4
12,12,"4301 Raspe Ave, Baltimore, MD 21206",City Neighbors Charter School,5
13,13,"4410 Frankford Ave., Baltimore, MD 21206",Baltimore International Academy,4
14,14,"5504 York Rd, Baltimore, MD 21212",Tunbridge Public Charter School,5
15,15,", Baltimore, MD 21202",Baltimore Montessori Public Charter Middle School,1
16,16,"5609 Sefton Ave, Baltimore, MD 21214",City Neighbors Hamilton,3
17,17,"1040 William St, Baltimore, MD 21218",Federal Hill Preparatory School,4
18,18,"6101 Old Harford Rd, Baltimore, MD 21214",Hamilton Elementary/Middle School,4
19,19,"3608 Chestnut Ave, Baltimore, MD 21211",Hampden Elementary/Middle School,3
20,20,"3901 Maine Ave, Baltimore, MD 21207",Liberty Elementary School,4
21,21,"5201 Loch Raven Blvd, Baltimore, MD 21239",Northwood Elementary School,4
22,22,"1400 Orleans Street, Baltimore, MD 21231",Paul Laurence Dunbar High School,4
23,23,"802 South Caroline St, Baltimore, MD 21231",The Crossroads School,5
24,24,"5001 East Eager St, Baltimore, MD 21205",Armistead Gardens Elementary School,4
25,0,"1400 West Cold Spring Ln, Baltimore, MD 21209",Baltimore Polytechnic Institute,4
26,1,"5207 Roland Ave, Baltimore, MD 21210",Roland Park Elementary/Middle School,4
27,2,"3220 the Alameda, Baltimore, MD 21218",Baltimore City College,4
28,3,"712 Cathedral St, Baltimore, MD 21201",Baltimore School For The Arts,5
29,4,"1801 Sulgrave Ave, Baltimore, MD 21209",The Mount Washington School,5
30,5,"100 East Heath St, Baltimore, MD 21230",Thomas Johnson Elementary School,5
31,6,"2851 Kentucky Ave, Baltimore, MD 21213",The Green School,5
32,7,"1600 Guilford Ave, Baltimore, MD 21202",Baltimore Montessori Public Charter School,4
33,8,"500 South Linwood Ave, Baltimore, MD 21224",Hampstead Hill Academy,4
34,9,"4300 Buchanan Ave, Baltimore, MD 21211",Medfield Heights Elementary School,5
35,10,"4600 Falls Rd, Baltimore, MD 21209",Western High School,4
36,11,"1398 Mt Royal Ave, Baltimore, MD 21217",Midtown Academy,4
37,12,"4301 Raspe Ave, Baltimore, MD 21206",City Neighbors Charter School,5
38,13,"4410 Frankford Ave., Baltimore, MD 21206",Baltimore International Academy,4
39,14,"5504 York Rd, Baltimore, MD 21212",Tunbridge Public Charter School,5
40,15,", Baltimore, MD 21202",Baltimore Montessori Public Charter Middle School,1
41,16,"5609 Sefton Ave, Baltimore, MD 21214",City Neighbors Hamilton,3
42,17,"1040 William St, Baltimore, MD 21218",Federal Hill Preparatory School,4
43,18,"6101 Old Harford Rd, Baltimore, MD 21214",Hamilton Elementary/Middle School,4
44,19,"3608 Chestnut Ave, Baltimore, MD 21211",Hampden Elementary/Middle School,3
45,20,"3901 Maine Ave, Baltimore, MD 21207",Liberty Elementary School,4
46,21,"5201 Loch Raven Blvd, Baltimore, MD 21239",Northwood Elementary School,4
47,22,"1400 Orleans Street, Baltimore, MD 21231",Paul Laurence Dunbar High School,4
48,23,"802 South Caroline St, Baltimore, MD 21231",The Crossroads School,5
49,24,"5001 East Eager St, Baltimore, MD 21205",Armistead Gardens Elementary School,4
50,0,"2000 Cecil Ave, Baltimore, MD 21218",Cecil Elementary School,5
51,1,"6100 Cross Country Blvd, Baltimore, MD 21215",Cross Country Elementary School,4
52,2,"3301 Carlisle Ave, Baltimore, MD 21216",Hilton Elementary School,5
53,3,"4701 Greenspring Ave, Baltimore, MD 21215",KIPP Harmony,4
54,4,"121 Mc Mechen St, Baltimore, MD 21217",Mount Royal Elementary/Middle School,4
55,5,"2777 Presstman St, Baltimore, MD 21216",Rosemont Elementary School,3
56,6,"851 Braddish Ave, Baltimore, MD 21216",Empowerment Academy,4
57,7,"27 North Lakewood Ave, Baltimore, MD 21224",Patterson Park Public Charter School,5
58,8,"1250 West 36th St, Baltimore, MD 21211",Independence School Local I,0
59,9,"3935 Hilton Rd, Baltimore, MD 21215",Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,3
60,10,"1201 Cambria St, Baltimore, MD 21225",Benjamin Franklin High School @ Masonville Cove,3
61,11,"220 North Bentalou St, Baltimore, MD 21223",Mary Ann Winterling Elementary School,4
62,12,"2201 Presstman St, Baltimore, MD 21216",Carver Vocational-Technical High School,4
63,13,"100 North Chester St, Baltimore, MD 21231",Commodore John Rogers Elementary School,5
64,14,"5025 Dickey Hill Rd, Baltimore, MD 21207",Dickey Hill Elementary/Middle School,3
65,15,"1900 Edgewood St, Baltimore, MD 21216",Edgewood Elementary School,4
66,16,"1425 East Fort Ave, Baltimore, MD 21230",Francis Scott Key Elementary/Middle School,4
67,17,"4633 Furley Ave, Baltimore, MD 21206",Furley Elementary School,2
68,18,"5801 York Rd, Baltimore, MD 21212",Govans Elementary School,4
69,19,"6300 O'Donnell St, Baltimore, MD 21224",Graceland Park/O'donnel Heights Elementary School,5
70,20,"2700 Gwynns Falls Pky, Baltimore, MD 21216",Gwynns Falls Elementary School,4
71,21,"3223 East Pratt St, Baltimore, MD 21224",Highlandtown Elementary #215,4
72,22,"2011 Linden Ave, Baltimore, MD 21217",John Eager Howard Elementary School,4
73,23,"701 Rappolla Stree, Baltimore, MD 21224",John Ruhrah Elementary School,5
74,24,"2921 Stranden Rd, Baltimore, MD 21230",Lakeland Elementary/Middle School,4
75,0,"1235 Sherwood Ave, Baltimore, MD 21239",Leith Walk Elementary School,4
76,1,"621 Wildwood Pky, Baltimore, MD 21229",Lyndhurst Elementary School,5
77,2,"100 East 26th St, Baltimore, MD 21218",Margaret Brent Elementary School,4
78,3,"1207 Pine Heights Ave, Baltimore, MD 21229",Violetville Elementary/Middle School,3
79,4,"5931 Yorkwood Rd, Baltimore, MD 21239",Yorkwood Elementary School,3
80,5,"181 North Bend Rd, Baltimore, MD 21229",North Bend Elementary/Middle School,4
81,6,"1385 North Gilmore St, Baltimore, MD 21217",New Song Academy,5
82,7,"300 Pontiac Ave, Baltimore, MD 21225",Maree Garnett Farring Elementary School,2
83,8,"4417 Loch Raven Blvd, Baltimore, MD 21218",Northwood Appold Community Academy,2
84,9,"1300 Herkimer Street, Baltimore, MD 21223",Southwest Baltimore Charter School,4
85,10,"2800 Brendan Ave, Baltimore, MD 21213",Afya Public Charter Middle School,5
86,11,"1101 North Wolfe St, Baltimore, MD 21213",East Baltimore Community School,1
87,12,"1500 Barclay St, Baltimore, MD 21202",Baltimore Design School,4
88,13,"201 North Bend Rd, Baltimore, MD 21229",Green Street Academy,4
89,14,"128 West Franklin St, Baltimore, MD 21201",Baltimore Leadership School For Young Women,4
90,15,"1300 Gorsuch Ave, Baltimore, MD 21218",Abbottston Elementary School,4
91,16,"3705 West Rogers Ave, Baltimore, MD 21215",Arlington Elementary School,3
92,17,"2900 Barclay St, Baltimore, MD 21218",Barclay Elementary/Middle School,4
93,18,"1327 Washington Blvd, Baltimore, MD 21230",Charles Carroll Barrister Elementary School,4
94,19,"301 South Beechfield Ave, Baltimore, MD 21229",Beechfield Elementary School,2
95,20,"3536 Brehms Ln, Baltimore, MD 21213",Brehms Lane Elementary School,4
96,21,"1400 Exeter Hall Ave, Baltimore, MD 21218",Coldstream Park Elementary School,3
97,22,"4301 West Bay Ave, Baltimore, MD 21225",Curtis Bay Elementary School,4
98,23,"1400 North Caroline St, Baltimore, MD 21213",Dr. Bernard Harris Sr. Elementary School,4
99,24,"3750 Greenspring Ave, Baltimore, MD 21211",Dr. Martin Luther King Jr. Elementary School,2
100,0,"1000 North Montford Ave, Baltimore, MD 21213",Dr. Rayner Browne Elementary School,1
101,1,"2835 Virginia Ave, Baltimore, MD 21215",Edgecombe Circle Elementary School,4
102,2,"1624 Eutaw Place, Baltimore, MD 21217",Eutaw-Marshburn Elementary School,5
103,3,"3801 Fallstaff Rd, Baltimore, MD 21215",Fallstaff Elementary School,3
104,4,"1400 West Lexington St, Baltimore, MD 21223",Franklin Square Elementary School,5
105,5,"2301 Gwynns Falls Pky, Baltimore, MD 21217",Frederick Douglass High School,3
106,6,"5300 Belair Rd, Baltimore, MD 21206",Gardenville Elementary School,3
107,7,"2800 Ailsa Ave, Baltimore, MD 21214",Garrett Heights Elementary School,3
108,8,"245 South Wolfe St, Baltimore, MD 21231",Wolfe Street Academy,5
109,9,"800 Scott St, Baltimore, MD 21230",George Washington Elementary School,4
110,10,"5609 Sefton Ave, Baltimore, MD 21214",City Neighbors High School,4
111,11,"6211 Walther Ave, Baltimore, MD 21206",Glenmount Elementary/Middle School,2
112,12,"5545 Kennison Ave, Baltimore, MD 21215",Grove Park Elementary School,4
113,13,"4517 Hazelwood Ave, Baltimore, MD 21206",Hazelwood Elementary/Middle School,2
114,14,"231 S. Eaton Street, Baltimore, MD 21224",Highlandtown Elementary #237,2
115,15,"1500 Imla St, Baltimore, MD 21224",Holabird Elementary,3
116,16,"301 North Pulaski St, Baltimore, MD 21223",Lockerman Bundy Elementary School,4
117,17,"5011 Arbutus Ave, Baltimore, MD 21215",Langston Hughes Elementary School,4
118,18,"1600 North Payson St, Baltimore, MD 21217",Matthew A. Henson Elementary School,2
119,19,"3500 Hillen Rd, Baltimore, MD 21218",Mergenthaler Vocational-Technical High School,4
120,20,"2040 East 32nd St, Baltimore, MD 21218",Montebello Elementary School,4
121,21,"6201 Frankford Ave, Baltimore, MD 21206",Moravia Park,4
122,22,"2601 Tolley St, Baltimore, MD 21230",Morrell Park Elementary/Middle School,3
123,23,"100 Kane St, Baltimore, MD 21224",Patterson High School,3
124,24,"2400 Windsor Ave, Baltimore, MD 21216",Robert W. Coleman Elementary School,4
125,0,"4300 Sidehill Rd, Baltimore, MD 21229",Rognel Heights Elementary/Middle School,3
