"Community","2011 Data"
"Allendale/Irvington/S. Hilton","32.7"
"Baltimore City","27.4"
"Beechfield/Ten Hills/West Hills","48.1"
"Belair-Edison","20.1"
"Brooklyn/Curtis Bay/Hawkins Point","15.1"
"Canton","9.6"
"Cedonia/Frankford","28.8"
"Cherry Hill","19.0"
"Chinquapin Park/Belvedere","39.4"
"Claremont/Armistead","28.0"
"Clifton-Berea","8.3"
"Cross-Country/Cheswolde","47.7"
"Dickeyville/Franklintown","72.1"
"Dorchester/Ashburton","30.1"
"Downtown/Seton Hill","6.7"
"Edmondson Village","53.8"
"Fells Point","7.2"
"Forest Park/Walbrook","52.5"
"Glen-Fallstaff","27.7"
"Greater Charles Village/Barclay","23.1"
"Greater Govans","31.8"
"Greater Mondawmin","22.3"
"Greater Roland Park/Poplar Hill","58.6"
"Greater Rosemont","27.2"
"Greenmount East","13.4"
"Hamilton","34.0"
"Harbor East/Little Italy","6.5"
"Harford/Echodale","29.7"
"Highlandtown","3.2"
"Howard Park/West Arlington","39.2"
"Inner Harbor/Federal Hill","8.5"
"Lauraville","40.0"
"Loch Raven","32.8"
"Madison/East End","5.7"
"Medfield/Hampden/Woodberry/Remington","31.7"
"Midtown","13.3"
"Midway/Coldstream","11.6"
"Morrell Park/Violetville","24.9"
"Mount Washington/Coldspring","65.6"
"North Baltimore/Guilford/Homeland","49.5"
"Northwood","29.9"
"Oldtown/Middle East","9.8"
"Orangeville/East Highlandtown","12.3"
"Patterson Park North And East","5.2"
"Penn North/Reservoir Hill","42.9"
"Pimlico/Arlington/Hilltop","22.9"
"Poppleton/The Terraces/Hollins Market","13.9"
"Sandtown-Winchester/Harlem Park","15.4"
"South Baltimore","5.2"
"Southeastern","5.0"
"Southern Park Heights","29.3"
"Southwest Baltimore","14.1"
"The Waverlies","19.5"
"Upton/Druid Heights","14.5"
"Washington Village/Pigtown","11.5"
"Westport/Mount Winans/Lakeland","22.1"
