,Neighbourhood,MedianHousePrice,MedianTOM,TOM Deviations
47,South Baltimore,289900.0,23,19.7454545455
45,Poppleton/The Terraces/Hollins Market,73600.0,27,15.7454545455
29,Inner Harbor/Federal Hill,320000.0,28,14.7454545455
35,Midway/Coldstream,17005.0,28,14.7454545455
42,Patterson Park North & East,172000.0,28,14.7454545455
33,Medfield/Hampden/Woodberry/Remington,175000.0,29,13.7454545455
54,Westport/Mount Winans/Lakeland,35500.0,30,12.7454545455
4,Canton,275000.0,30,12.7454545455
52,Upton/Druid Heights,71202.0,31,11.7454545455
9,Clifton-Berea,20000.0,32,10.7454545455
34,Midtown,200000.0,33,9.74545454545
15,Fells Point,249000.0,33,9.74545454545
38,North Baltimore/Guilford/Homeland,325000.0,33,9.74545454545
20,Greater Mondawmin,40500.0,33,9.74545454545
31,Loch Raven,73100.0,34,8.74545454545
28,Howard Park/West Arlington,70000.0,34,8.74545454545
37,Mount Washington/Coldspring,287000.0,34,8.74545454545
40,Oldtown/Middle East,149900.0,35,7.74545454545
10,Cross-Country/Cheswolde,165000.0,35,7.74545454545
36,Morrell Park/Violetville,69000.0,35,7.74545454545
3,Brooklyn/Curtis Bay/Hawkins Point,40000.0,36,6.74545454545
39,Northwood,90000.0,36,6.74545454545
7,Chinquapin Park/Belvedere,120000.0,36,6.74545454545
21,Greater Roland Park/Poplar Hill,310000.0,36,6.74545454545
43,Penn North/Reservoir Hill,65000.0,36,6.74545454545
53,Washington Village/Pigtown,113000.0,36,6.74545454545
41,Orangeville/East Highlandtown,90000.0,37,5.74545454545
6,Cherry Hill,23500.0,38,4.74545454545
14,Edmondson Village,55000.0,39,3.74545454545
46,Sandtown-Winchester/Harlem Park,18000.0,39,3.74545454545
2,Belair-Edison,41975.0,39,3.74545454545
12,Dorchester/Ashburton,86250.0,40,2.74545454545
27,Highlandtown,265000.0,41,1.74545454545
18,Greater Charles Village/Barclay,189900.0,41,1.74545454545
0,Allendale/Irvington/S. Hilton,33250.0,43,-0.254545454545
19,Greater Govans,50600.0,44,-1.25454545455
5,Cedonia/Frankford,78575.0,45,-2.25454545455
24,Hamilton,106000.0,45,-2.25454545455
30,Lauraville,132000.0,46,-3.25454545455
26,Harford/Echodale,123999.0,47,-4.25454545455
49,Southern Park Heights,19900.0,47,-4.25454545455
17,Glen-Fallstaff,87500.0,47,-4.25454545455
44,Pimlico/Arlington/Hilltop,30000.0,48,-5.25454545455
16,Forest Park/Walbrook,65500.0,49,-6.25454545455
1,Beechfield/Ten Hills/West Hills,130000.0,49,-6.25454545455
22,Greater Rosemont,20000.0,54,-11.2545454545
50,Southwest Baltimore,23250.0,54,-11.2545454545
51,The Waverlies,79950.0,54,-11.2545454545
25,Harbor East/Little Italy,298000.0,55,-12.2545454545
8,Claremont/Armistead,90000.0,57,-14.2545454545
32,Madison/East End,25000.0,61,-18.2545454545
48,Southeastern,75000.0,65,-22.2545454545
23,Greenmount East,30000.0,72,-29.2545454545
13,Downtown/Seton Hill,235250.0,88,-45.2545454545
11,Dickeyville/Franklintown,227550.0,126,-83.2545454545
