Community,Unnamed: 0,Art Score,Crime,Population 19-24,Population 25-64,Income,zscore
Downtown/Seton Hill,54,38.3122066931,243.3,20.6,67.6,"44,819.40",5.163838664874963
Inner Harbor/Federal Hill,42,13.3122173752,79.3,13.3,66.6,"88,854.21",0.42154857984246696
Midtown,49,8.78803366198,84.2,22.6,58.7,"38,866.80",0.5632389543342917
Washington Village/Pigtown,52,6.86964428867,139.4,11.3,59.5,"48,175.04",2.1594243975891323
Harbor East/Little Italy,53,4.74529373601,159.4,9.8,59.6,"36,578.63",2.7377524567394365
Medfield/Hampden/Woodberry/Remington,19,4.036007501369999,51.5,9.1,61.5,"58,210.00",-0.38232742237645617
Fells Point,37,3.71433514383,71.0,11.3,71.2,"77,433.38",0.1815424352950907
Greater Charles Village/Barclay,35,3.66934240792,68.8,33.9,50.6,"30,845.24",0.11792634878855712
Oldtown/Middle East,47,2.8568437184099995,82.6,12.3,50.8,"14,105.44",0.5169727096022672
The Waverlies,40,2.0921967508000003,75.2,9.3,56.0,"32,651.91",0.3029913277166547
South Baltimore,16,1.5031469649,49.8,10.4,70.9,"88,487.05",-0.43148530740423213
Westport/Mount Winans/Lakeland,38,1.3147135627200002,71.2,10.9,51.3,"41,367.65",0.18732571588659383
Orangeville/East Highlandtown,45,1.26379821552,81.0,10.4,56.4,"40,430.66",0.4707064648702429
Greater Roland Park/Poplar Hill,1,0.624863667886,28.2,6.5,56.2,"1,04,481.89",-1.0560796112865607
Southwest Baltimore,44,0.247169117508,80.7,11.0,52.0,"24,946.04",0.46203154398298846
Penn North/Reservoir Hill,31,-0.209106315922,59.6,10.1,56.4,"33,263.81",-0.14810455842058282
Highlandtown,50,-0.46481931835699997,88.8,10.6,66.0,"71,660.18",0.6962544079388616
Upton/Druid Heights,41,-0.525745747759,77.9,12.1,48.6,"15,949.56",0.3810656157019459
Canton,13,-0.886098238634,46.5,10.5,71.5,"91,735.65",-0.5269094371640323
Southeastern,48,-1.22067894922,83.7,10.4,53.7,"32,102.23",0.5487807528555341
North Baltimore/Guilford/Homeland,3,-1.36919140266,29.9,28.2,44.0,"81,450.63",-1.006921726258785
Mount Washington/Coldspring,4,-1.39797319264,30.0,4.2,59.5,"76,262.58",-1.0040300859630333
Poppleton/The Terraces/Hollins Market,46,-1.40071800535,82.0,10.5,54.6,"17,228.33",0.49962286782775817
Belair-Edison,29,-1.48082281794,56.6,10.9,54.0,"38,905.92",-0.23485376729312846
Greenmount East,34,-1.8434849307700003,66.5,10.8,51.6,"23,276.90",0.051418621986272194
Madison/East End,39,-1.9586618203900001,71.8,13.2,47.5,"27,454.05",0.2046755576611028
Morrell Park/Violetville,30,-2.0537477717400003,58.8,8.6,54.2,"38,209.59",-0.1712376807865951
Greater Govans,7,-2.07400693692,39.9,10.0,52.8,"36,530.70",-0.7177576966836328
Lauraville,5,-2.08065214992,38.9,8.9,57.9,"66,195.71",-0.746674099641148
Glen-Fallstaff,21,-2.0809009192400003,51.8,9.3,50.8,"39,694.18",-0.37365250148920165
Midway/Coldstream,36,-2.08492872811,69.9,11.3,50.5,"34,522.90",0.14973439204182412
Northwood,8,-2.21195386408,41.8,24.7,44.3,"58,265.65",-0.6628165310643539
Sandtown-Winchester/Harlem Park,33,-2.2328877509200002,63.1,11.5,50.9,"24,374.13",-0.046897148069279526
Pimlico/Arlington/Hilltop,27,-2.3606357616099998,55.7,9.7,49.9,"32,409.83",-0.26087852995489214
Chinquapin Park/Belvedere,15,-2.3940460811900004,47.7,11.1,56.2,"44,252.62",-0.4922097536150139
Greater Mondawmin,51,-2.42157536202,102.9,15.5,48.0,"38,655.18",1.1039756896398265
Clifton-Berea,25,-2.4570720035900004,55.0,10.5,48.5,"25,737.95",-0.28112001202515285
Greater Rosemont,32,-2.54414145838,63.0,11.0,50.0,"30,864.86",-0.04978878836503109
Patterson Park North & East,43,-2.64270983655,79.5,11.6,59.9,"56,651.51",0.4273318604339701
Cherry Hill,23,-2.67808274011,53.5,12.1,43.8,"22,658.56",-0.3244946164614257
Harford/Echodale,10,-2.81822844518,44.2,9.9,57.0,"54,085.61",-0.5934171639663172
Southern Park Heights,20,-2.8643859803400002,51.6,11.1,50.6,"26,015.22",-0.3794357820807046
Cross-Country/Cheswolde,0,-2.9537404151200004,14.6,9.8,43.5,"54,867.93",-1.449342691508768
Dickeyville/Franklintown,2,-2.98395288965,29.3,11.7,53.1,"32,768.00",-1.024271568033294
Allendale/Irvington/S. Hilton,26,-3.04437905259,55.1,10.3,51.9,"35,958.25",-0.2782283717294013
Forest Park/Walbrook,17,-3.12513767907,50.0,10.7,52.7,"37,160.58",-0.425702026812729
Hamilton,18,-3.13920180639,50.1,8.4,57.4,"63,986.00",-0.42281038651697744
Claremont/Armistead,12,-3.1746783272799997,46.3,10.4,53.2,"34,034.15",-0.5326927177555354
Dorchester/Ashburton,28,-3.1906104091,56.4,9.6,51.9,"36,870.32",-0.2406370478846316
Brooklyn/Curtis Bay/Hawkins Point,24,-3.23539758111,54.9,11.1,53.5,"35,861.90",-0.2840116523209044
Edmondson Village,6,-3.24833127375,38.9,11.2,48.3,"36,647.72",-0.746674099641148
Cedonia/Frankford,22,-3.501384068,52.3,11.6,55.3,"39,306.14",-0.35919430001044406
Loch Raven,9,-3.55659176705,43.7,11.4,54.7,"47,992.10",-0.6078753654450748
Howard Park/West Arlington,11,-3.6486837380900004,45.3,9.3,50.9,"39,467.86",-0.5616091207130506
Beechfield/Ten Hills/West Hills,14,-3.7904672690699996,46.6,10.2,56.2,"52,622.69",-0.5240177968682806
