CSA2010,Median Number of Days on the Market (2014),Median Price of Homes Sold (2014),Median Prices Z Score,Median Days Z Score,Score
Inner Harbor/Federal Hill,28,320000,2.153481976948115,-0.8985775877314248,3.05205956467954
South Baltimore,23,289900,1.8309470578469267,-1.203274057060823,3.0342211149077496
North Baltimore/Guilford/Homeland,33,325000,2.207059206034691,-0.5938811184020267,2.800940324436718
Greater Roland Park/Poplar Hill,36,310000,2.0463275187749628,-0.41106323680438783,2.4573907555793504
Canton,30,275000,1.67128691516893,-0.7766989999996655,2.447985915168596
Mount Washington/Coldspring,34,287000,1.7998722649767127,-0.532941824536147,2.33281408951286
Fells Point,33,249000,1.3926853239187342,-0.5938811184020267,1.9865664423207607
Highlandtown,41,265000,1.5641324569957775,-0.1063667674749897,1.6704992244707677
Patterson Park North & East,28,172000,0.5675959959854618,-0.8985775877314248,1.4661735837168868
Midtown,33,200000,0.8676284788702882,-0.5938811184020267,1.4615095972723149
Medfield/Hampden/Woodberry/Remington,29,175000,0.5997423334374076,-0.8376382938655452,1.4373806273029528
Harbor East/Little Italy,55,298000,1.9177421689671799,0.746783346647325,1.170958822319855
Cross-Country/Cheswolde,35,165000,0.4925878752642554,-0.4720025306702674,0.9645904059345228
Greater Charles Village/Barclay,41,189900,0.7594024761154043,-0.1063667674749897,0.8657692435903941
Oldtown/Middle East,35,149900,0.33078464342279545,-0.4720025306702674,0.8027871740930629
Poppleton/The Terraces/Hollins Market,27,73600,-0.486803872438356,-0.9595168815973044,0.4727130091589484
Chinquapin Park/Belvedere,36,120000,0.0103928134850703,-0.41106323680438783,0.42145605028945815
Washington Village/Pigtown,36,113000,-0.06461530723613626,-0.41106323680438783,0.34644792956825154
Upton/Druid Heights,31,71202,-0.512499511508278,-0.7157597061337859,0.20326019462550796
Northwood,36,90000,-0.3110705610343864,-0.41106323680438783,0.09999267577000144
Loch Raven,34,73100,-0.4921615953470137,-0.532941824536147,0.040780229189133384
Orangeville/East Highlandtown,37,90000,-0.3110705610343864,-0.3501239429385082,0.039053381904121776
Howard Park/West Arlington,34,70000,-0.5253794773806908,-0.532941824536147,0.007562347155456228
Lauraville,46,132000,0.13897816329285298,0.1983297018544084,-0.05935153856155542
Morrell Park/Violetville,35,69000,-0.5360949231980061,-0.4720025306702674,-0.06409239252773867
Westport/Mount Winans/Lakeland,30,35500,-0.895062358078066,-0.7766989999996655,-0.11836335807840047
Penn North/Reservoir Hill,36,65000,-0.5789567064672669,-0.41106323680438783,-0.1678934696628791
Dorchester/Ashburton,40,86250,-0.35125348284931845,-0.16730606134086934,-0.18394742150844912
Midway/Coldstream,28,17005,-1.0932445284693109,-0.8985775877314248,-0.19466694073788626
Harford/Echodale,47,123999,0.053243881308513874,0.25926899572028805,-0.20602511441177415
Greater Mondawmin,33,40500,-0.84148512899149,-0.5938811184020267,-0.24760401058946324
Beechfield/Ten Hills/West Hills,49,130000,0.11754727165822253,0.3811475834520473,-0.2636003117938248
Hamilton,45,106000,-0.1396234279573428,0.13739040798852878,-0.2770138359458716
Clifton-Berea,32,20000,-1.061151768246452,-0.6548204122679063,-0.4063313559785456
Brooklyn/Curtis Bay/Hawkins Point,36,40000,-0.8468428519001475,-0.41106323680438783,-0.4357796150957597
Edmondson Village,39,55000,-0.6861111646404192,-0.22824535520674896,-0.4578658094336703
Cedonia/Frankford,45,78575,-0.4334945294972128,0.13739040798852878,-0.5708849374857415
Glen-Fallstaff,47,87500,-0.3378591755776744,0.25926899572028805,-0.5971281712979625
Belair-Edison,39,41975,-0.8256798464109499,-0.22824535520674896,-0.5974344912042011
Cherry Hill,38,23500,-1.0236477078858488,-0.2891846490726286,-0.7344630588132202
Greater Govans,44,50600,-0.7332591262366062,0.07645111412264917,-0.8097102403592553
Sandtown-Winchester/Harlem Park,39,18000,-1.0825826598810824,-0.22824535520674896,-0.8543373046743334
Allendale/Irvington/S. Hilton,43,33250,-0.9191721111670252,0.01551182025676954,-0.9346839314237948
Forest Park/Walbrook,49,65500,-0.5735989835586094,0.3811475834520473,-0.9547465670106569
The Waverlies,54,79950,-0.4187607914984044,0.6858440527814454,-1.1046048442798495
Claremont/Armistead,57,90000,-0.3110705610343864,0.8686619343790842,-1.1797324954134707
Pimlico/Arlington/Hilltop,48,30000,-0.9539973100732998,0.32020828958616765,-1.2742055996594674
Southern Park Heights,47,19900,-1.0622233128281835,0.25926899572028805,-1.3214923085484716
Downtown/Seton Hill,88,235250,1.2453479439306496,2.7577800442213527,-1.512432100290703
Southwest Baltimore,54,23250,-1.0263265693401775,0.6858440527814454,-1.712170622121623
Greater Rosemont,54,20000,-1.061151768246452,0.6858440527814454,-1.7469958210278973
Southeastern,65,75000,-0.4718022482941147,1.3561762853061212,-1.827978533600236
Madison/East End,61,25000,-1.0075745391598758,1.1124191098426028,-2.1199936490024784
Greenmount East,72,30000,-0.9539973100732998,1.7827513423672787,-2.7367486524405784
Dickeyville/Franklintown,126,227550,1.1628390111373226,5.073473211124778,-3.910634199987456
