Community,Unnamed: 0,Difference,Ratio,zscore
Allendale/Irvington/S. Hilton,0,83.7,33.19230769230769,0.8291428914205496
Baltimore City,1,78.7,40.35,0.08836430304226711
Beechfield/Ten Hills/West Hills,2,87.60000000000002,49.66666666666667,1.406950190355613
Belair-Edison,3,79.69999999999997,42.94736842105263,0.23652002071791942
Brooklyn/Curtis Bay/Hawkins Point,4,74.6,22.94117647058824,-0.5190741394279259
Canton,5,76.6,23.529411764705888,-0.22276270407661283
Cedonia/Frankford,6,83.4,76.81818181818181,0.7846961761178531
Cherry Hill,7,76.0,28.142857142857146,-0.3116561346820059
Chinquapin Park/Belvedere,8,80.2,115.57142857142858,0.31059787955575185
Claremont/Armistead,9,79.5,47.764705882352935,0.2068888771827919
Clifton-Berea,10,62.89999999999999,29.59090909090909,-2.2524960362331075
Cross-Country/Cheswolde,11,85.9,43.95,1.1550854703069944
Dickeyville/Franklintown,12,61.8,19.176470588235297,-2.4154673256763286
Dorchester/Ashburton,13,84.2,71.16666666666667,0.9032207502583779
Downtown/Seton Hill,14,90.3,91.3,1.8069706280798818
Edmondson Village,15,77.3,41.6842105263158,-0.11905370170365286
Fells Point,16,80.1,26.03125,0.295782307788185
Forest Park/Walbrook,17,81.5,91.55555555555556,0.5032003125341049
Glen-Fallstaff,18,82.10000000000002,75.63636363636363,0.5920937431395022
Greater Charles Village/Barclay,19,80.7,37.68181818181818,0.38467573839358016
Greater Govans,20,84.2,43.1,0.9032207502583779
Greater Mondawmin,21,87.30000000000003,80.36363636363636,1.3625034750529166
Greater Roland Park/Poplar Hill,22,87.9,88.9,1.4513969056583074
Greater Rosemont,23,76.4,30.384615384615387,-0.25239384761174244
Greenmount East,24,67.8,20.37142857142857,-1.5265330196223896
Hamilton,25,79.0,66.83333333333334,0.13281101834496364
Harbor East/Little Italy,26,64.2,129.4,-2.059893603254752
Harford/Echodale,27,82.3,92.44444444444444,0.6217248866746297
Highlandtown,28,70.5,21.735294117647058,-1.1265125818981168
Howard Park/West Arlington,29,78.5,113.14285714285715,0.05873315950713538
Inner Harbor/Federal Hill,30,67.0,19.61111111111111,-1.6450575937629146
Lauraville,31,85.10000000000002,66.46153846153847,1.0365608961664718
Loch Raven,32,85.8,108.25,1.1402698985394275
Madison/East End,33,66.5,24.75,-1.7191354526007427
Medfield/Hampden/Woodberry/Remington,34,75.9,17.866666666666667,-0.3264717064495707
Midtown,35,74.7,19.219512195121947,-0.5042585676603589
Midway/Coldstream,36,82.5,34.0,0.6513560302097614
Morrell Park/Violetville,37,80.6,24.705882352941174,0.36986016662601323
Mount Washington/Coldspring,38,88.6,64.28571428571429,1.5551059080312652
North Baltimore/Guilford/Homeland,39,71.0,34.8095238095238,-1.0524347230602884
Northwood,40,83.30000000000003,76.72727272727272,0.7698806043502905
Oldtown/Middle East,41,76.89999999999998,35.95454545454545,-0.1783159887739184
Orangeville/East Highlandtown,42,78.8,25.625,0.10317987480983191
Patterson Park North & East,43,79.80000000000003,50.875,0.25133559248549264
Penn North/Reservoir Hill,44,76.1,39.05,-0.2968405629144411
Pimlico/Arlington/Hilltop,45,75.60000000000002,69.72727272727272,-0.37091842175226514
Poppleton/The Terraces/Hollins Market,46,72.80000000000003,21.222222222222225,-0.7857544312441029
Sandtown-Winchester/Harlem Park,47,75.5,40.73684210526317,-0.3857339935198342
South Baltimore,48,82.9,11.3625,0.7106183172800249
Southeastern,49,71.10000000000002,45.4375,-1.0376191512927195
Southern Park Heights,50,78.7,40.35,0.08836430304226711
Southwest Baltimore,51,71.10000000000002,23.935483870967747,-1.0376191512927195
The Waverlies,52,74.3,17.51111111111111,-0.5635208547306224
Upton/Druid Heights,53,70.8,26.285714285714285,-1.0820658665954201
Washington Village/Pigtown,54,89.9,45.95,1.7477083410096206
Westport/Mount Winans/Lakeland,55,73.6,53.57142857142858,-0.6672298571035824
