,neighborhood,male_population,female_population,female_ratio
7,Cherry Hill,3343.0,4859.0,1.453484893807957
12,Dickeyville/Franklintown,1733.0,2368.0,1.3664166185804962
32,Loch Raven,6631.0,8680.0,1.309003166943146
21,Greater Mondawmin,4044.0,5278.0,1.3051434223541047
52,The Waverlies,3413.0,4340.0,1.2716085555230003
15,Edmondson Village,3478.0,4422.0,1.2714203565267395
13,Dorchester/Ashburton,5238.0,6548.0,1.2500954562810234
20,Greater Govans,4766.0,5915.0,1.2410826689047418
0,Allendale/Irvington/S. Hilton,7246.0,8971.0,1.2380623792437206
53,Upton/Druid Heights,4621.0,5721.0,1.2380437134819302
38,Mount Washington/Coldspring,2312.0,2856.0,1.2352941176470589
40,Northwood,7506.0,9137.0,1.2172928324007461
9,Claremont/Armistead,3717.0,4514.0,1.214420231369384
10,Clifton-Berea,4473.0,5401.0,1.207467024368433
3,Belair-Edison,7891.0,9525.0,1.207071347104296
41,Oldtown/Middle East,4543.0,5478.0,1.2058111380145278
17,Forest Park/Walbrook,4469.0,5380.0,1.2038487357350638
2,Beechfield/Ten Hills/West Hills,5566.0,6698.0,1.2033776500179663
50,Southern Park Heights,6037.0,7247.0,1.200430677488819
8,Chinquapin Park/Belvedere,3527.0,4229.0,1.199036007938758
18,Glen-Fallstaff,6783.0,8131.0,1.1987321244287188
29,Howard Park/West Arlington,4949.0,5924.0,1.1970094968680542
39,North Baltimore/Guilford/Homeland,7953.0,9511.0,1.1959009178926192
23,Greater Rosemont,8783.0,10476.0,1.1927587384720484
24,Greenmount East,3737.0,4447.0,1.18999197217019
11,Cross-Country/Cheswolde,5956.0,7078.0,1.1883814640698456
47,Sandtown-Winchester/Harlem Park,6810.0,8086.0,1.1873715124816446
6,Cedonia/Frankford,10788.0,12769.0,1.1836299592139414
33,Madison/East End,3587.0,4194.0,1.1692221912461667
45,Pimlico/Arlington/Hilltop,5458.0,6358.0,1.1648955661414437
36,Midway/Coldstream,4448.0,5176.0,1.1636690647482015
25,Hamilton,6012.0,6990.0,1.1626746506986028
44,Penn North/Reservoir Hill,4501.0,5167.0,1.1479671184181293
31,Lauraville,5757.0,6516.0,1.1318394997394476
1,Baltimore City,292249.0,328712.0,1.1247668939842395
46,Poppleton/The Terraces/Hollins Market,2403.0,2683.0,1.1165210153974199
37,Morrell Park/Violetville,4238.0,4726.0,1.1151486550259557
27,Harford/Echodale,7964.0,8875.0,1.1143897538925163
49,Southeastern,2972.0,3288.0,1.1063257065948855
34,Medfield/Hampden/Woodberry/Remington,8322.0,9066.0,1.0894015861571738
22,Greater Roland Park/Poplar Hill,3532.0,3845.0,1.0886183465458663
55,Westport/Mount Winans/Lakeland,3447.0,3672.0,1.0652741514360313
51,Southwest Baltimore,8685.0,9200.0,1.0592976396085205
26,Harbor East/Little Italy,2628.0,2779.0,1.0574581430745815
35,Midtown,7305.0,7715.0,1.056125941136208
4,Brooklyn/Curtis Bay/Hawkins Point,6981.0,7262.0,1.0402521128778113
14,Downtown/Seton Hill,3164.0,3282.0,1.0372945638432365
5,Canton,4011.0,4089.0,1.0194465220643232
54,Washington Village/Pigtown,2743.0,2760.0,1.006197593875319
43,Patterson Park North & East,7289.0,7260.0,0.9960214021127727
30,Inner Harbor/Federal Hill,6528.0,6327.0,0.9692095588235294
48,South Baltimore,3263.0,3143.0,0.9632240269690469
16,Fells Point,4613.0,4426.0,0.9594623889009322
28,Highlandtown,3734.0,3516.0,0.9416175682913765
42,Orangeville/East Highlandtown,4744.0,4387.0,0.9247470489038786
19,Greater Charles Village/Barclay,8528.0,7863.0,0.9220215759849906
