,Neighbourhood,MedianHousePrice,MedianTOM,TOM Deviations,Dev Score
47,South Baltimore,289900.0,23,19.7454545455,12.6043478261
29,Inner Harbor/Federal Hill,320000.0,28,14.7454545455,11.4285714286
38,North Baltimore/Guilford/Homeland,325000.0,33,9.74545454545,9.84848484848
4,Canton,275000.0,30,12.7454545455,9.16666666667
21,Greater Roland Park/Poplar Hill,310000.0,36,6.74545454545,8.61111111111
37,Mount Washington/Coldspring,287000.0,34,8.74545454545,8.44117647059
15,Fells Point,249000.0,33,9.74545454545,7.54545454545
27,Highlandtown,265000.0,41,1.74545454545,6.46341463415
42,Patterson Park North & East,172000.0,28,14.7454545455,6.14285714286
34,Midtown,200000.0,33,9.74545454545,6.06060606061
33,Medfield/Hampden/Woodberry/Remington,175000.0,29,13.7454545455,6.03448275862
25,Harbor East/Little Italy,298000.0,55,-12.2545454545,5.41818181818
10,Cross-Country/Cheswolde,165000.0,35,7.74545454545,4.71428571429
18,Greater Charles Village/Barclay,189900.0,41,1.74545454545,4.63170731707
40,Oldtown/Middle East,149900.0,35,7.74545454545,4.28285714286
7,Chinquapin Park/Belvedere,120000.0,36,6.74545454545,3.33333333333
53,Washington Village/Pigtown,113000.0,36,6.74545454545,3.13888888889
30,Lauraville,132000.0,46,-3.25454545455,2.86956521739
45,Poppleton/The Terraces/Hollins Market,73600.0,27,15.7454545455,2.72592592593
13,Downtown/Seton Hill,235250.0,88,-45.2545454545,2.67329545455
1,Beechfield/Ten Hills/West Hills,130000.0,49,-6.25454545455,2.65306122449
26,Harford/Echodale,123999.0,47,-4.25454545455,2.63827659574
39,Northwood,90000.0,36,6.74545454545,2.5
41,Orangeville/East Highlandtown,90000.0,37,5.74545454545,2.43243243243
24,Hamilton,106000.0,45,-2.25454545455,2.35555555556
52,Upton/Druid Heights,71202.0,31,11.7454545455,2.29683870968
12,Dorchester/Ashburton,86250.0,40,2.74545454545,2.15625
31,Loch Raven,73100.0,34,8.74545454545,2.15
28,Howard Park/West Arlington,70000.0,34,8.74545454545,2.05882352941
36,Morrell Park/Violetville,69000.0,35,7.74545454545,1.97142857143
17,Glen-Fallstaff,87500.0,47,-4.25454545455,1.86170212766
11,Dickeyville/Franklintown,227550.0,126,-83.2545454545,1.80595238095
43,Penn North/Reservoir Hill,65000.0,36,6.74545454545,1.80555555556
5,Cedonia/Frankford,78575.0,45,-2.25454545455,1.74611111111
8,Claremont/Armistead,90000.0,57,-14.2545454545,1.57894736842
51,The Waverlies,79950.0,54,-11.2545454545,1.48055555556
14,Edmondson Village,55000.0,39,3.74545454545,1.41025641026
16,Forest Park/Walbrook,65500.0,49,-6.25454545455,1.33673469388
20,Greater Mondawmin,40500.0,33,9.74545454545,1.22727272727
54,Westport/Mount Winans/Lakeland,35500.0,30,12.7454545455,1.18333333333
48,Southeastern,75000.0,65,-22.2545454545,1.15384615385
19,Greater Govans,50600.0,44,-1.25454545455,1.15
3,Brooklyn/Curtis Bay/Hawkins Point,40000.0,36,6.74545454545,1.11111111111
2,Belair-Edison,41975.0,39,3.74545454545,1.07628205128
0,Allendale/Irvington/S. Hilton,33250.0,43,-0.254545454545,0.773255813953
44,Pimlico/Arlington/Hilltop,30000.0,48,-5.25454545455,0.625
9,Clifton-Berea,20000.0,32,10.7454545455,0.625
6,Cherry Hill,23500.0,38,4.74545454545,0.618421052632
35,Midway/Coldstream,17005.0,28,14.7454545455,0.607321428571
46,Sandtown-Winchester/Harlem Park,18000.0,39,3.74545454545,0.461538461538
50,Southwest Baltimore,23250.0,54,-11.2545454545,0.430555555556
49,Southern Park Heights,19900.0,47,-4.25454545455,0.423404255319
23,Greenmount East,30000.0,72,-29.2545454545,0.416666666667
32,Madison/East End,25000.0,61,-18.2545454545,0.409836065574
22,Greater Rosemont,20000.0,54,-11.2545454545,0.37037037037
